(((0,0),(10,1)),('F',70))
(((-29623,-2034),(-58,-23)),('S',3))
(((-29623,-2034),(-58,-26)),('W',4))
(((-29623,-2034),(-62,-26)),('R',90))
(((-29623,-2034),(-62,26)),('F',20))
(((-30863,-1514),(-62,26)),('E',2))
(((-30863,-1514),(-60,26)),('S',5))
(((-30863,-1514),(-60,21)),('L',90))
(((-30863,-1514),(60,21)),('F',75))
(((-26363,61),(60,21)),('R',90))
(((-26363,61),(60,-21)),('F',52))
(((-23243,-1031),(60,-21)),('W',3))
(((-23243,-1031),(57,-21)),('L',90))
(((-23243,-1031),(-57,-21)),('N',5))
(((-23243,-1031),(-57,-16)),('W',5))
(((-23243,-1031),(-62,-16)),('N',4))
(((-23243,-1031),(-62,-12)),('R',90))
(((-23243,-1031),(-62,12)),('F',52))
(((-26467,-407),(-62,12)),('W',3))
(((-26467,-407),(-65,12)),('F',91))
(((-32382,685),(-65,12)),('E',1))
(((-32382,685),(-64,12)),('N',2))
(((-32382,685),(-64,14)),('F',81))
(((-37566,1819),(-64,14)),('R',90))
(((-37566,1819),(-64,-14)),('E',2))
(((-37566,1819),(-62,-14)),('L',90))
(((-37566,1819),(62,-14)),('F',24))
(((-36078,1483),(62,-14)),('E',2))
(((-36078,1483),(64,-14)),('L',180))
(((-36078,1483),(64,-14)),('E',1))
(((-36078,1483),(65,-14)),('F',55))
(((-32503,713),(65,-14)),('E',1))
(((-32503,713),(66,-14)),('L',90))
(((-32503,713),(-66,-14)),('E',5))
(((-32503,713),(-61,-14)),('R',90))
(((-32503,713),(-61,14)),('F',23))
(((-33906,1035),(-61,14)),('S',3))
(((-33906,1035),(-61,11)),('R',180))
(((-33906,1035),(-61,11)),('S',3))
(((-33906,1035),(-61,8)),('F',8))
(((-34394,1099),(-61,8)),('L',180))
(((-34394,1099),(-61,8)),('S',1))
(((-34394,1099),(-61,7)),('N',3))
(((-34394,1099),(-61,10)),('F',90))
(((-39884,1999),(-61,10)),('N',5))
(((-39884,1999),(-61,15)),('W',3))
(((-39884,1999),(-64,15)),('N',4))
(((-39884,1999),(-64,19)),('L',90))
(((-39884,1999),(64,19)),('N',3))
(((-39884,1999),(64,22)),('W',5))
(((-39884,1999),(59,22)),('R',90))
(((-39884,1999),(59,-22)),('E',4))
(((-39884,1999),(63,-22)),('S',4))
(((-39884,1999),(63,-26)),('F',89))
(((-34277,-315),(63,-26)),('W',3))
(((-34277,-315),(60,-26)),('N',2))
(((-34277,-315),(60,-24)),('R',90))
(((-34277,-315),(60,24)),('F',18))
(((-33197,117),(60,24)),('R',180))
(((-33197,117),(60,24)),('W',5))
(((-33197,117),(55,24)),('E',4))
(((-33197,117),(59,24)),('F',100))
(((-27297,2517),(59,24)),('N',4))
(((-27297,2517),(59,28)),('F',40))
(((-24937,3637),(59,28)),('E',3))
(((-24937,3637),(62,28)),('S',2))
(((-24937,3637),(62,26)),('E',2))
(((-24937,3637),(64,26)),('F',16))
(((-23913,4053),(64,26)),('R',90))
(((-23913,4053),(64,-26)),('S',2))
(((-23913,4053),(64,-28)),('L',180))
(((-23913,4053),(64,-28)),('F',58))
(((-20201,2429),(64,-28)),('W',1))
(((-20201,2429),(63,-28)),('F',70))
(((-15791,469),(63,-28)),('S',1))
(((-15791,469),(63,-29)),('R',90))
(((-15791,469),(63,29)),('W',3))
(((-15791,469),(60,29)),('L',90))
(((-15791,469),(-60,29)),('S',4))
(((-15791,469),(-60,25)),('F',48))
(((-18671,1669),(-60,25)),('R',90))
(((-18671,1669),(-60,-25)),('W',1))
(((-18671,1669),(-61,-25)),('N',5))
(((-18671,1669),(-61,-20)),('E',3))
(((-18671,1669),(-58,-20)),('R',90))
(((-18671,1669),(-58,20)),('E',1))
(((-18671,1669),(-57,20)),('L',90))
(((-18671,1669),(57,20)),('F',1))
(((-18614,1689),(57,20)),('R',90))
(((-18614,1689),(57,-20)),('N',1))
(((-18614,1689),(57,-19)),('E',3))
(((-18614,1689),(60,-19)),('F',39))
(((-16274,948),(60,-19)),('W',3))
(((-16274,948),(57,-19)),('R',90))
(((-16274,948),(57,19)),('E',3))
(((-16274,948),(60,19)),('L',90))
(((-16274,948),(-60,19)),('N',5))
(((-16274,948),(-60,24)),('R',90))
(((-16274,948),(-60,-24)),('S',3))
(((-16274,948),(-60,-27)),('W',4))
(((-16274,948),(-64,-27)),('R',180))
(((-16274,948),(-64,-27)),('E',1))
(((-16274,948),(-63,-27)),('S',3))
(((-16274,948),(-63,-30)),('F',56))
(((-19802,-732),(-63,-30)),('L',90))
(((-19802,-732),(63,-30)),('F',98))
(((-13628,-3672),(63,-30)),('N',2))
(((-13628,-3672),(63,-28)),('W',4))
(((-13628,-3672),(59,-28)),('F',67))
(((-9675,-5548),(59,-28)),('R',90))
(((-9675,-5548),(59,28)),('W',3))
(((-9675,-5548),(56,28)),('S',1))
(((-9675,-5548),(56,27)),('F',33))
(((-7827,-4657),(56,27)),('R',90))
(((-7827,-4657),(56,-27)),('F',42))
(((-5475,-5791),(56,-27)),('L',90))
(((-5475,-5791),(-56,-27)),('R',90))
(((-5475,-5791),(-56,27)),('E',4))
(((-5475,-5791),(-52,27)),('R',90))
(((-5475,-5791),(-52,-27)),('E',3))
(((-5475,-5791),(-49,-27)),('F',74))
(((-9101,-7789),(-49,-27)),('E',4))
(((-9101,-7789),(-45,-27)),('R',270))
(((-9101,-7789),(-45,27)),('F',62))
(((-11891,-6115),(-45,27)),('S',5))
(((-11891,-6115),(-45,22)),('L',90))
(((-11891,-6115),(45,22)),('E',4))
(((-11891,-6115),(49,22)),('F',21))
16515
